2025-07-20 21:09:22 | INFO     | __main__:main:15 - LET THE OBAMANATOR COOK...
2025-07-20 21:09:25 | INFO     | src.trader:__init__:9 - Binance Futures client initialized.
2025-07-20 21:09:26 | INFO     | __main__:main:22 - 526 trading pairs fetched
2025-07-20 21:09:26 | INFO     | __main__:main:23 - Looking for trades...
2025-07-20 21:10:38 | ERROR    | src.trader:get_candles:100 - Failed to fetch candles for BTCSTUSDT: APIError(code=-1122): Invalid symbol status.
2025-07-20 21:14:45 | ERROR    | src.trader:get_candles:100 - Failed to fetch candles for SOLVUSDT: APIError(code=-1122): Invalid symbol status.
2025-07-20 21:15:06 | ERROR    | src.trader:get_candles:100 - Failed to fetch candles for EPICUSDT: APIError(code=-1122): Invalid symbol status.
2025-07-20 21:15:08 | ERROR    | src.trader:get_candles:100 - Failed to fetch candles for FORMUSDT: APIError(code=-1122): Invalid symbol status.
2025-07-20 21:15:08 | ERROR    | src.trader:get_candles:100 - Failed to fetch candles for TUTUSDT: APIError(code=-1122): Invalid symbol status.
2025-07-20 21:15:09 | ERROR    | src.trader:get_candles:100 - Failed to fetch candles for BIDUSDT: APIError(code=-1122): Invalid symbol status.
2025-07-20 21:15:14 | ERROR    | src.trader:get_candles:100 - Failed to fetch candles for JELLYJELLYUSDT: APIError(code=-1122): Invalid symbol status.
2025-07-20 21:15:24 | ERROR    | src.trader:get_candles:100 - Failed to fetch candles for KERNELUSDT: APIError(code=-1122): Invalid symbol status.
2025-07-20 21:15:31 | ERROR    | src.trader:get_candles:100 - Failed to fetch candles for WCTUSDT: APIError(code=-1122): Invalid symbol status.
2025-07-20 21:15:32 | INFO     | __main__:<module>:142 - Bot stopped by user
2025-07-20 21:18:51 | INFO     | trader:__init__:9 - Binance Futures client initialized.
2025-07-20 21:19:56 | INFO     | __main__:main:15 - LET THE OBAMANATOR COOK...
2025-07-20 21:19:59 | INFO     | src.trader:__init__:9 - Binance Futures client initialized.
2025-07-20 21:20:00 | INFO     | __main__:main:22 - 474 trading pairs fetched
2025-07-20 21:20:00 | INFO     | __main__:main:23 - Looking for trades...
2025-07-20 21:26:10 | INFO     | __main__:main:136 - Looking for trades...
2025-07-20 21:32:25 | INFO     | __main__:main:136 - Looking for trades...
2025-07-20 21:38:30 | INFO     | __main__:main:136 - Looking for trades...
2025-07-20 21:44:46 | INFO     | __main__:main:136 - Looking for trades...
2025-07-20 21:46:30 | INFO     | __main__:<module>:142 - Bot stopped by user
